"year"  "Y"    "K"    "A"     "E"   "C_Y" "C_K"  "C_A"  "C_E"  "S_Y" "S_K" "S_A" "S_E"  "I_Y" "I_K" "I_A" "I_E" "N_Y" "N_K" "N_A" "N_E"  "V_Y"  "V_K" "V_A" "V_E"  "P_Y" "P_K" "P_A" "P_E" "F_Y"  "F_K" "F_A" "F_E"
1960  453.50  24.25  12.50  574.80     NA    NA     NA     NA     NA    NA   NA     NA     NA    NA   NA     NA    NA    NA   NA    NA      NA     NA    NA    NA     NA    NA   NA    NA     NA     NA    NA    NA
1961  476.66  25.49  12.81  560.98     NA    NA     NA     NA     NA    NA   NA     NA     NA    NA   NA     NA    NA    NA   NA    NA      NA     NA    NA    NA     NA    NA   NA    NA     NA     NA    NA    NA
1962  498.56  26.66  12.92  569.11     NA    NA     NA     NA     NA    NA   NA     NA     NA    NA   NA     NA    NA    NA   NA    NA      NA     NA    NA    NA     NA    NA   NA    NA     NA     NA    NA    NA
1963  508.93  27.21  12.93  569.92     NA    NA     NA     NA     NA    NA   NA     NA     NA    NA   NA     NA    NA    NA   NA    NA      NA     NA    NA    NA     NA    NA   NA    NA     NA     NA    NA    NA
1964  553.86  29.62  12.99  609.76     NA    NA     NA     NA     NA    NA   NA     NA     NA    NA   NA     NA    NA    NA   NA    NA      NA     NA    NA    NA     NA    NA   NA    NA     NA     NA    NA    NA
1965  586.71  31.37  13.16  639.84     NA    NA     NA     NA     NA    NA   NA     NA     NA    NA   NA     NA    NA    NA   NA    NA      NA     NA    NA    NA     NA    NA   NA    NA     NA     NA    NA    NA
1966  599.24  32.04  13.02  608.94     NA    NA     NA     NA     NA    NA   NA     NA     NA    NA   NA     NA    NA    NA   NA    NA      NA     NA    NA    NA     NA    NA   NA    NA     NA     NA    NA    NA
1967  581.41  31.09  12.25  601.63     NA    NA     NA     NA     NA    NA   NA     NA     NA    NA   NA     NA    NA    NA   NA    NA      NA     NA    NA    NA     NA    NA   NA    NA     NA     NA    NA    NA
1968  625.86  33.47  12.32  666.67     NA    NA     NA     NA     NA    NA   NA     NA     NA    NA   NA     NA    NA    NA   NA    NA      NA     NA    NA    NA     NA    NA   NA    NA     NA     NA    NA    NA
1969  685.95  36.68  12.73  690.24     NA    NA     NA     NA     NA    NA   NA     NA     NA    NA   NA     NA    NA    NA   NA    NA      NA     NA    NA    NA     NA    NA   NA    NA     NA     NA    NA    NA
1970  722.27  53.65  12.99  738.21  48250 13919  657    14483  19712  4044  281  10528  21812  5676  376  31181  6512  1866  107  2585  105429  17588  2148  5265   4180  3227   79  3351  71481   9177   984  5778
1971  734.56  54.56  12.95  717.07  51448 11849  649.5  14637  22813  4636  286  10999  20723  6619  364  27728  5832  1711  104  2758  113592  16562  2136  5209   4287  2692   74  3320  73260   9720   975  5951
1972  760.72  56.51  12.75  728.46  54646  9778  642    14195  25914  5229  291  11394  19634  7562  352  28462  5152  1555  101  2878  121755  15535  2124  5452   4393  2158   68  3314  75038  10323   965  5932
1973  801.45  59.53  12.81  776.42  59622  9584  640    15483  26944  5521  291  11490  24903  4996  352  31794  4510  1730   92  3275  134864  14641  2147  5715   4938  2002   67  3409  91154   9934   960  6064
1974  786.65  58.43  12.40  776.42  78771 12655  655    16085  25777  3616  273   9835  31784  4646  353  33911  9506  2061   94  3558  135907  14524  2113  7769   6201  1944   64  3345  92748   8573   940  6306
1975  747.28  55.51  11.62  682.11  70373 12597  642    13948  24514  2527  248   8739  31512  6182  343  27420  6843  1166   87  3372  150649  14098  4613  5002   5307  2022   60  2879  93390   9078   900  6222
1976  800.94  59.49  11.41  717.89  81162 12675  621    15577  26827  3227  246   8869  29121  7990  334  27908  7854   972   83  3560  176358  14927  2023  5439   5906  2372   57  3309  98658  10070   885  6402
1977  815.62  60.58  11.42  715.45 654784  9796  630    16130  19086  3002  237   8932  21204  3745  322  25651  6257   822   79  3787  179914  13407  1865  5845   4503  1959   55  3570  81939   8801   899  6461
1978  830.80  61.71  11.41  720.33  66155  9038  627    16541  20248  3413  237   8646  22436  2512  307  25545  6857   964   78  3789  174494  16867  2082  6048   5261  1959   55  3508  85415   8532   885  6422
1979  871.32  64.72  11.58  748.78  73786 10049  630    17070  22752  3855  239   9007  26023  3555  311  27727  6715  1169   77  3933  189502  20650  2112  6251   5577  2496   55  3480  88685   9117   914  6464
1980  860.04  84.57  11.72  716.26  67972 11234  620    15438  23431  4187  230   8853  26702  4787  309  26379  7458  1217   77  3942  192256  24265  2132  6080   5701  3508   55  3515  93915  10001   915  6378
1981  845.24  83.11  11.53  687.80  70983  9908  611    16264  21813  3215  215   8090  24774  4085  294  24465  6893  1297   75  3794  186229  21195  2064  5949  11643  1242   55  3608  89687   9094   769  6147
1982  816.53  80.29  11.18  624.39  73994  9136  606    14838  20195  2470  203   6941  22846  3298  280  21270  6329  1228   71  3567  180201  21329  2027  5718  17586  1021   53  3478  85459   8501   749  5483
1983  828.93  81.51  10.84  615.45  76562  8818  891    15270  20397  2884  197   7127  22159  2884  260  20207  6954   883   70  3745  197289  85598  1769  5617  12006   773   52  3550  88707   9260   726  5453
1984  849.70  83.55  10.79  633.33  79130  9301  595    15560  20598  2939  206   7014  21472  3271  242  21945  7578  1076   70  3820  214377  20252  1991  5751   6426   966   52  3586  89554   8887   815  5382
1985  868.14  85.37  10.80  634.15  54937 10695  601    15650  18918  2719  194   6158  23318  5106  233  22455  9161  1297   71  3844  239463  24308  2036  5995   8495  1559   53  3629  91899   6969   817  5310
1986  880.18  86.55  10.91  610.57  63515 12392  611    15184  20889  2691  189   6018  23499  3602  228  20235  9313  1270   72  3811  260091  29086  2115  5689   7995  1987   54  3646  93801   8734   805  5294
1987  868.55  85.41  10.89  609.76  89096 14656  638    15780  20764  2788  188   5816  21223  3008  217  19532  9036  1339   75  3620  259506  30845  2105  5942   7856  1904   55  3660  93954   9743   796  5444
1988  892.43  87.75  10.86  622.76  71300 11620  645    16018  17170  2960  188   5953  17200  2320  207  21393  5810  1190   75  3540  234456  23510  2213  5650   5640  2390   56  3823  66310   8440   817  5144
1989  924.57 121.02  11.00  633.33  71980 12760  638       NA  17860  3290  189     NA  18280  1790  201     NA  6780  1330   75    NA  251489  25710  2241    NA   5700  2380   56    NA  68070   9110   813    NA
1990  968.44 136.00  11.31  625.20  71770 13300  544       NA  18950  3560  189     NA  17590  2530  201     NA  7260  1350   75    NA  273291  29400  2332    NA   6570  2310   58    NA  78260  10450   836    NA
1991 1002.21 145.54  11.45  628.46  71830 12300  643       NA  20480  3990  193     NA  16150  3050  190     NA  7570  1420   77    NA  297723  30970  2375    NA   6480  2140   57    NA  82120  12510   872    NA
1992 1002.08 141.82  11.35  613.01  72390 11570  638       NA  22570  4370  195     NA  15380  2850  185     NA  7000  1560   73    NA  300597  25680  2332    NA   5620  1830   56    NA  65800  12020   860    NA
1993  939.47 134.46  10.82  585.37     NA    NA     NA     NA     NA    NA   NA     NA     NA    NA   NA     NA    NA    NA   NA    NA      NA     NA    NA    NA     NA    NA   NA    NA     NA     NA    NA    NA
